# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
4.755158905677297298e+04,-8.734580582850998098e+01,-8.760106434856072610e+01,2.714811650240911108e-05,2.636190424723484308e-05,1.167079342820495746e+00,8.571172194993843529e-01,5.566203638640426776e-01,-4.087887439074167073e-01
5.301626654443809821e+04,-9.107011277164600926e+01,-9.204975183662713789e+01,1.768171381524969883e-05,1.579582828201470568e-05,-5.075178884309456073e+00,-1.637707532799532073e+00,-1.784551108416601861e-01,5.758561145411286025e-02
5.910895038555104111e+04,-9.140278654410204240e+01,-8.616866341484667657e+01,1.701730052133509490e-05,3.108828931497090403e-05,-4.070502259127411371e+00,-4.114231019919392907e+01,-2.381443086116749597e-03,2.407026551847300799e-02
6.590181171571151935e+04,-9.035863241348847907e+01,-9.490512057767857357e+01,1.919103400570928267e-05,1.137035349557156426e-05,-7.634175355623674442e+00,-1.889167891155619117e+01,-1.838779773691166450e-02,4.550280214358474323e-02
7.347531565159941965e+04,-9.342203658457093240e+01,-8.008607008162732654e+01,1.348739778677225608e-05,6.262193622827072676e-05,-4.290979457430168509e+01,-1.770234333162813982e+02,-1.293299412202445929e-03,5.335478869691873474e-03
8.191917444380512461e+04,-8.844795559975008814e+01,-8.180015200173718881e+01,2.391289823663033667e-05,5.140701603260540306e-05,-5.537493751259311381e+01,-1.544317561361601499e+01,-1.675552969066384373e-02,4.672846582503741887e-03
9.133341016696253791e+04,-1.040770630201547959e+02,-8.250816471497131488e+01,3.955276460867818932e-06,4.738291335059283783e-05,1.646578447536044791e+02,5.237085092250111984e+02,5.463411983833698369e-04,-1.737685410383687633e-03
1.018295395353247004e+05,-9.013184617607436167e+01,-9.021822111253499088e+01,1.969870547338965021e-05,1.950378675964463895e-05,2.853438314451570146e-01,-4.041769477331990101e-01,1.165714954052025076e+00,1.651183800502971977e+00
1.135318948785629036e+05,-9.482997096276395155e+01,-9.136227655250918644e+01,1.146915567264796279e-05,1.709685262305684050e-05,-2.236353198486531468e+01,-1.008919051725951910e+01,-3.715370306230449116e-02,1.676169886183280153e-02
1.265790969254623051e+05,-9.743109442447871515e+01,-8.740986789023497749e+01,8.501102927305003798e-06,2.694862438423040836e-05,-9.541865824859057454e+01,5.164967679769037545e+01,-8.105278584741923767e-03,-4.387349675013326941e-03
1.411256968414335861e+05,-8.984230148039053176e+01,-9.687307162211716616e+01,2.036643059935686862e-05,9.065179636891152642e-06,-1.003369323727394935e+01,2.586694801801014165e+01,-1.303459618093452330e-02,-3.360330178278313901e-02
1.573440069706634094e+05,-1.023608575382548054e+02,-8.981625993143271103e+01,4.819335031828459508e-06,2.042758372066045034e-05,-6.195518491115984183e+00,1.618150273615099763e+02,-2.362673824965862905e-04,-6.170849625925478067e-03
1.754261419690340117e+05,-1.078183114118658068e+02,-7.582925320800575264e+01,2.571073103068599279e-06,1.022274046971392939e-04,-1.081191385567651423e+03,1.608409814234391433e+03,-2.878604313221140099e-04,-4.282290342381412621e-04
1.955862945061358041e+05,-9.110275047526094738e+01,-7.452718555895194186e+01,1.761539848186660008e-05,1.187601446010105356e-04,1.595189267764777696e+02,-2.386952665707671599e+02,1.935399189669348343e-03,2.896023906594466773e-03
