frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
21.0297192,9780.755393645106,-5.188672894134336,9780.756769935762,-0.030395303660540555,-0.03024071076923085
18.8620707,9779.920833437607,-4.344309654078966,9779.921798324018,-0.025451186767684982,-0.025321729044289115
16.9178536,9786.86850025257,-3.4487093620901863,9786.869107882882,-0.02018995994798898,-0.020087336037296094
15.1740376,9788.490999661097,-4.942357801461902,9788.492247396784,-0.028929506990697094,-0.02878248494172502
13.6099663,9789.206678249726,-1.0863389480108239,9789.206738526944,-0.00635829221222694,-0.00632598121212122
12.2071124,9784.722774616135,-4.123009286716895,9784.723643276659,-0.024142842110322377,-0.02402009925407932
10.9488583,9777.074231960505,-10.147927006998914,9777.07949838236,-0.05946903600409612,-0.059166458694638865
9.82029941,9771.777341001576,-8.849020948265505,9771.781347701328,-0.05188528113904061,-0.05162114741258756
8.80806727,9767.217388607509,-7.5330970812325315,9767.22029360803,-0.04419012771629481,-0.043965063379953505
7.90017144,9767.752012085431,-5.929343538312937,9767.753811737568,-0.03478039961290457,-0.034603269496503525
7.08585743,9771.5842644751,-3.694556341138297,9771.58496291589,-0.02166306606014602,-0.02155278311888113
6.35547922,9778.717575309907,-0.8257424399720767,9778.717610173915,-0.0048382169030259815,-0.004813604247086232
5.70038511,9789.15857966766,2.6813712178598763,9789.158946897971,0.01569401997104301,0.015614267118881166
5.11281514,9802.91712793957,6.832347009371012,9802.919508912468,0.0399334789134394,0.039730830979021074
